panel_id,metric_output_id,status,mismatch_fields,actual_ag,paper_ag,actual_acc_cross,paper_acc_cross,actual_d_ag,paper_d_ag,actual_d_acc,paper_d_acc,native_state,paper_panel_state
d5_a,mse,matched,,0.02589084818240907,0.02589084818240907,0.5637183370044052,0.5637183370044052,,,,,complete,complete
d5_b,mse,matched,,0.011266270309758167,0.011266270309758167,0.5967453652716594,0.5967453652716594,,,,,complete,complete
d5_a,rmse,matched,,0.025994714272215894,0.025994714272215894,0.5638594438325991,0.5638594438325991,-0.00010386608980682277,-0.00010386608980682277,0.0001411068281939043,0.0001411068281939043,complete,complete
d5_b,rmse,matched,,0.011310703088418588,0.011310703088418588,0.5968245227606461,0.5968245227606461,-4.443277866042136e-05,-4.443277866042136e-05,7.915748898668085e-05,7.915748898668085e-05,complete,complete
d5_a,mae,matched,,0.02593172919089978,0.02593172919089978,0.5648930800293686,0.5648930800293686,-4.088100849070769e-05,-4.088100849070769e-05,0.0011747430249633428,0.0011747430249633428,complete,complete
d5_b,mae,matched,,0.011362801609538958,0.011362801609538958,0.5968302588105727,0.5968302588105727,-9.653129978079086e-05,-9.653129978079086e-05,8.489353891327767e-05,8.489353891327767e-05,complete,complete
d5_a,sam,matched,,0.03151934489778361,0.03151934489778361,0.5632158590308372,0.5632158590308372,-0.005628496715374538,-0.005628496715374538,-0.0005024779735680607,-0.0005024779735680607,complete,complete
d5_b,sam,matched,,0.015324644668213639,0.015324644668213639,0.5967338931718063,0.5967338931718063,-0.004058374358455472,-0.004058374358455472,-1.147209985319364e-05,-1.147209985319364e-05,complete,complete
d5_a,pearson_r,matched,,0.0341109820249643,0.0341109820249643,0.5634521842878121,0.5634521842878121,-0.008220133842555228,-0.008220133842555228,-0.00026615271659313766,-0.00026615271659313766,complete,complete
d5_b,pearson_r,matched,,0.014728933334083531,0.014728933334083531,0.5964746237151248,0.5964746237151248,-0.003462663024325364,-0.003462663024325364,-0.00027074155653461496,-0.00027074155653461496,complete,complete
d5_a,nmse,matched,,0.027705971224591307,0.027705971224591307,0.564069383259912,0.564069383259912,-0.0018151230421822352,-0.0018151230421822352,0.0003510462555067484,0.0003510462555067484,complete,complete
d5_b,nmse,matched,,0.010468240323611296,0.010468240323611296,0.5969759544787078,0.5969759544787078,0.0007980299861468712,0.0007980299861468712,0.0002305892070483262,0.0002305892070483262,complete,complete
d5_a,wasserstein_1_cm1,matched,,0.020767723025267908,0.020767723025267908,0.5697801945668136,0.5697801945668136,0.005123125157141164,0.005123125157141164,0.0060618575624084015,0.0060618575624084015,complete,complete
d5_b,wasserstein_1_cm1,matched,,0.017110199622038663,0.017110199622038663,0.5954880231277533,0.5954880231277533,-0.005843929312280496,-0.005843929312280496,-0.0012573421439061594,-0.0012573421439061594,complete,complete
d5_a,is_like_structure_to_noise,matched,,0.050827911400603616,0.050827911400603616,0.5094713656387665,0.5094713656387665,-0.024937063218194545,-0.024937063218194545,-0.05424697136563872,-0.05424697136563872,complete,complete
d5_b,is_like_structure_to_noise,matched,,0.035524213505484334,0.035524213505484334,0.5463208975770925,0.5463208975770925,-0.02425794319572617,-0.02425794319572617,-0.05042446769456699,-0.05042446769456699,complete,complete
d5_a,precision,matched,,0.05211297488473799,0.05211297488473799,0.5161802496328928,0.5161802496328928,-0.02622212670232892,-0.02622212670232892,-0.04753808737151244,-0.04753808737151244,complete,complete
d5_b,precision,matched,,0.046498196641316714,0.046498196641316714,0.5452046622613802,0.5452046622613802,-0.03523192633155855,-0.03523192633155855,-0.05154070301027924,-0.05154070301027924,complete,complete
d5_a,recall,matched,,0.057060380141513024,0.057060380141513024,0.518448283773862,0.518448283773862,-0.031169531959103953,-0.031169531959103953,-0.04527005323054323,-0.04527005323054323,complete,complete
d5_b,recall,matched,,0.05115866900844352,0.05115866900844352,0.5477801486784141,0.5477801486784141,-0.039892398698685355,-0.039892398698685355,-0.048965216593245375,-0.048965216593245375,complete,complete
d5_a,f1,matched,,0.056663761661054995,0.056663761661054995,0.5175970539647577,0.5175970539647577,-0.030772913478645924,-0.030772913478645924,-0.046121283039647465,-0.046121283039647465,complete,complete
d5_b,f1,matched,,0.051044331757819625,0.051044331757819625,0.5468187867107195,0.5468187867107195,-0.03977806144806146,-0.03977806144806146,-0.04992657856093996,-0.04992657856093996,complete,complete
d5_a,artifact_peak_ratio,matched,,0.05211297488473799,0.05211297488473799,0.5161802496328928,0.5161802496328928,-0.02622212670232892,-0.02622212670232892,-0.04753808737151244,-0.04753808737151244,complete,complete
d5_b,artifact_peak_ratio,matched,,0.046498196641316714,0.046498196641316714,0.5452046622613802,0.5452046622613802,-0.03523192633155855,-0.03523192633155855,-0.05154070301027924,-0.05154070301027924,complete,complete
d5_a,missing_peak_ratio,matched,,0.057060380141513024,0.057060380141513024,0.518448283773862,0.518448283773862,-0.031169531959103953,-0.031169531959103953,-0.04527005323054323,-0.04527005323054323,complete,complete
d5_b,missing_peak_ratio,matched,,0.05115866900844352,0.05115866900844352,0.5477801486784141,0.5477801486784141,-0.039892398698685355,-0.039892398698685355,-0.048965216593245375,-0.048965216593245375,complete,complete
d2_5_a,mse,matched,,0.12800776615654616,0.12800776615654616,0.7940885416666668,0.7940885416666668,,,,,complete,complete
d2_5_b,mse,matched,,0.1403274719754123,0.1403274719754123,0.8020312500000001,0.8020312500000001,,,,,complete,complete
d2_5_a,rmse,matched,,0.12881608017260615,0.12881608017260615,0.7946614583333335,0.7946614583333335,-0.0008083140160599911,-0.0008083140160599911,0.0005729166666667007,0.0005729166666667007,complete,complete
d2_5_b,rmse,matched,,0.1407258377063015,0.1407258377063015,0.8018489583333334,0.8018489583333334,-0.0003983657308892219,-0.0003983657308892219,-0.00018229166666672292,-0.00018229166666672292,complete,complete
d2_5_a,mae,matched,,0.1218275064540057,0.1218275064540057,0.8047395833333333,0.8047395833333333,0.006180259702540464,0.006180259702540464,0.010651041666666528,0.010651041666666528,complete,complete
d2_5_b,mae,matched,,0.14397228485996066,0.14397228485996066,0.8015624999999998,0.8015624999999998,-0.0036448128845483763,-0.0036448128845483763,-0.0004687500000002398,-0.0004687500000002398,complete,complete
d2_5_a,sam,matched,,0.13897726286915224,0.13897726286915224,0.791875,0.791875,-0.01096949671260608,-0.01096949671260608,-0.002213541666666763,-0.002213541666666763,complete,complete
d2_5_b,sam,matched,,0.13721435681106922,0.13721435681106922,0.8005729166666667,0.8005729166666667,0.0031131151643430666,0.0031131151643430666,-0.0014583333333333393,-0.0014583333333333393,complete,complete
