panel_id,endpoint_id,perturbation_scope,reference,candidate,state,native_w1_ag,common_grid_mse_ag,delta_ag,native_w1_oc,common_grid_mse_oc,delta_oc,bootstrap_ag_lower,bootstrap_ag_upper,bootstrap_oc_lower,bootstrap_oc_upper
d1_a,d1,all5,native_w1,common_grid_mse,complete,0.03914087083254116,0.18703149381330286,0.1478906229807617,0.8309895833333335,0.7456250000000001,0.08536458333333341,0.08576266511403693,0.2057525305805536,0.049528645833333475,0.11562499999999987
d1_a,d1,no_axis,native_w1,common_grid_mse,complete,0.04591087510186279,0.20859099995263558,0.1626801248507728,0.8250000000000001,0.6704861111111111,0.15451388888888895,0.09877621867346649,0.23607737105713372,0.09930121527777776,0.20277777777777772
d2_5_a,d2_5,all5,native_w1,common_grid_mse,complete,0.053120470286407775,0.18153947342274657,0.1284190031363388,0.83203125,0.7497916666666665,0.08223958333333348,0.09351945414542041,0.1573192615942563,0.049372395833333284,0.11333333333333329
d2_5_a,d2_5,no_axis,native_w1,common_grid_mse,complete,0.07633987527509274,0.18615904683815954,0.1098191715630668,0.8144097222222221,0.7032986111111109,0.11111111111111116,0.07022673943906603,0.14687506542689444,0.06717447916666652,0.15746527777777775
d2_5_b,d2_5,all5,native_w1,common_grid_mse,complete,0.20989283465050015,0.2724239645424531,0.06253112989195295,0.7366406249999998,0.6905989583333334,0.046041666666666425,0.019033765314387247,0.09306619058206066,0.02812369791666673,0.06161458333333336
d2_5_b,d2_5,no_axis,native_w1,common_grid_mse,complete,0.3176545032454394,0.22351747001425024,-0.09413703323118919,0.5732638888888889,0.7012152777777777,-0.1279513888888888,-0.1496980839744595,-0.0632515976516036,-0.16823350694444442,-0.08593315972222214
d2_10_a,d2_10,all5,native_w1,common_grid_mse,complete,0.04633408968857839,0.2134012967482314,0.16706720705965303,0.8327083333333333,0.7461979166666667,0.08651041666666659,0.12608964148990867,0.20704186947379033,0.05086848958333346,0.11828255208333366
d2_10_a,d2_10,no_axis,native_w1,common_grid_mse,complete,0.06699758459248839,0.23935870083362226,0.17236111624113387,0.8315104166666668,0.6861979166666667,0.14531250000000007,0.12531606710612972,0.22367230464505464,0.0991276041666664,0.1881987847222221
d2_10_b,d2_10,all5,native_w1,common_grid_mse,complete,0.34806290625780667,0.37492929161295796,0.02686638535515129,0.7249739583333334,0.6752864583333336,0.049687499999999885,-0.010814817542065907,0.049833212354888023,0.03531250000000019,0.06151432291666687
d2_10_b,d2_10,no_axis,native_w1,common_grid_mse,complete,0.488677272409621,0.4019139847799903,-0.0867632876296307,0.5314236111111111,0.659375,-0.1279513888888889,-0.13541154773340353,-0.05806030484964972,-0.15555555555555556,-0.09791666666666654
d2_20_a,d2_20,all5,native_w1,common_grid_mse,complete,0.043428461861171115,0.2193690985349494,0.1759406366737783,0.8297916666666665,0.7467708333333334,0.0830208333333331,0.13059205031885707,0.22112210437295862,0.04718098958333338,0.11448437500000011
d2_20_a,d2_20,no_axis,native_w1,common_grid_mse,complete,0.06018193242524798,0.24918775583299452,0.18900582340774652,0.8297743055555556,0.6705729166666665,0.15920138888888913,0.1324172858794621,0.24757604053266488,0.10520399305555557,0.2046874999999999
d2_20_b,d2_20,all5,native_w1,common_grid_mse,complete,0.41748263282846837,0.4323786640939038,0.014896031265435428,0.729140625,0.6795052083333334,0.0496354166666666,-0.022519939815345388,0.030972181115547084,0.03630078124999986,0.06193489583333337
d2_20_b,d2_20,no_axis,native_w1,common_grid_mse,complete,0.539224654086566,0.47560854870215225,-0.0636161053844137,0.5207465277777777,0.6330729166666668,-0.11232638888888902,-0.11154133432300775,-0.040480225411429434,-0.1531249999999998,-0.06891927083333337
d4_a,d4,all5,native_w1,common_grid_mse,complete,0.22953527690634212,0.24618064755789484,0.01664537065155272,0.8787174479166667,0.9077994791666666,-0.029082031249999862,-0.0019468817932264692,0.031470738242466316,-0.033118652343749964,-0.024946940104166412
d4_a,d4,no_axis,native_w1,common_grid_mse,complete,0.2666381315943773,0.2859716079931226,0.019333476398745275,0.741037326388889,0.8014973958333333,-0.060460069444444375,-0.002273326613996876,0.03652930147947335,-0.07305067274305552,-0.04769911024305544
d4_b,d4,all5,native_w1,common_grid_mse,complete,0.35661203723740115,0.2750974243877629,-0.08151461284963823,0.51375,0.6344466145833334,-0.12069661458333336,-0.10886885106104358,-0.06163211928696863,-0.12419921874999984,-0.11680289713541668
d4_b,d4,no_axis,native_w1,common_grid_mse,complete,0.42262263824796154,0.3290606379691036,-0.09356200027885792,0.254296875,0.6234375,-0.369140625,-0.13361462991660686,-0.06728327853854822,-0.3800141059027778,-0.3567919921875
d5_a,d5,all5,native_w1,common_grid_mse,complete,0.020767723025267908,0.03146333208327915,0.010695609058011243,0.5697801945668136,0.5670108296622614,0.002769364904552263,0.005200791445754244,0.01674760130918637,0.0012431167400880434,0.004304331864904423
d5_a,d5,no_axis,native_w1,common_grid_mse,complete,0.02223166819775225,0.027251458640574013,0.005019790442821762,0.5734520313264806,0.563203622124327,0.010248409202153641,0.0006081377337895865,0.009402409131924002,0.00567352698237886,0.014807039280469881
d5_b,d5,all5,native_w1,common_grid_mse,complete,0.017110199622038663,0.027391318515876964,0.0102811188938383,0.5954880231277533,0.5982596824522761,-0.002771659324522835,0.0025273972057384035,0.018186127344949714,-0.004325153726137815,-0.0012985843428781872
d5_b,d5,no_axis,native_w1,common_grid_mse,complete,0.018400999333668608,0.011826178825235695,-0.006574820508432912,0.5724998470386686,0.5832683247674987,-0.01076847772883005,-0.010885049902380792,-0.0036184775811817765,-0.015693832599118832,-0.0060876697870779215
