panel_id,endpoint_id,protocol_id,family,alpha,scope,signed_mean,positive_mean,negative_mean,absolute_mean,signed_mean_lower,signed_mean_upper,positive_mean_lower,positive_mean_upper,negative_mean_lower,negative_mean_upper,absolute_mean_lower,absolute_mean_upper,positive_absolute_share,negative_absolute_share,zero_denominator_state
d1_a,d1,a,p08,integrated_equal_alpha,integrated,0.3936,0.4012083333333333,0.007608333333333332,0.4088166666666666,0.30953125,0.4695508333333333,0.3271091666666666,0.4709797916666666,0.0,0.02178333333333333,0.3387931249999999,0.4742952083333332,0.9813893758408415,0.018610624159158547,complete
d1_a,d1,a,p09,integrated_equal_alpha,integrated,0.159275,0.16018333333333332,0.0009083333333333343,0.16109166666666663,0.12491437499999998,0.19140895833333327,0.12646729166666665,0.19215812499999996,0.00025812499999999984,0.0017750000000000016,0.12803374999999997,0.19252958333333328,0.9943613884434329,0.0056386115565671795,complete
d1_a,d1,a,p10,integrated_equal_alpha,integrated,0.42644166666666655,0.42710833333333326,0.0006666666666666673,0.4277749999999999,0.3549402083333334,0.49522041666666666,0.35609104166666666,0.49560145833333324,0.0,0.001775000000000001,0.35667375,0.49593875,0.9984415483217424,0.001558451678257653,complete
d1_a,d1,a,p11,integrated_equal_alpha,integrated,0.09037500000000001,0.10810000000000002,0.017725000000000005,0.125825,0.039236875000000004,0.14724895833333332,0.06318479166666666,0.16025958333333332,0.00671520833333334,0.030721249999999974,0.08340833333333333,0.17350270833333337,0.8591297436916354,0.14087025630836483,complete
d1_a,d1,a,p12,integrated_equal_alpha,integrated,0.02100833333333333,0.03038333333333333,0.009375000000000001,0.039758333333333326,0.002700000000000002,0.04350374999999998,0.014689374999999992,0.05079333333333332,0.004491041666666672,0.014917083333333336,0.024830833333333337,0.05869708333333331,0.7642003772793965,0.23579962272060373,complete
d2_5_a,d2_5,a,p08,integrated_equal_alpha,integrated,0.233475,0.23463333333333333,0.001158333333333333,0.23579166666666668,0.18659604166666668,0.27932312499999995,0.18889125,0.28005374999999993,8.333333333332878e-06,0.0034333333333333325,0.19104395833333335,0.28098666666666666,0.9950874712846792,0.0049125287153207265,complete
d2_5_a,d2_5,a,p09,integrated_equal_alpha,integrated,0.09134166666666668,0.09215833333333334,0.0008166666666666639,0.092975,0.07010666666666669,0.11270937500000001,0.07130375,0.11329479166666663,0.0003083333333333336,0.001424999999999995,0.07232791666666667,0.11393375000000001,0.9912162767769114,0.008783723223088614,complete
d2_5_a,d2_5,a,p10,integrated_equal_alpha,integrated,0.2531166666666667,0.25327500000000003,0.0001583333333333335,0.2534333333333334,0.20749250000000002,0.29756062499999997,0.20762291666666668,0.29782520833333337,8.33333333333334e-06,0.000366666666666667,0.20775333333333335,0.29801854166666664,0.9993752466131789,0.0006247533868209921,complete
d2_5_a,d2_5,a,p11,integrated_equal_alpha,integrated,0.010441666666666674,0.028541666666666667,0.01809999999999999,0.04664166666666666,-0.00871937499999998,0.030993541666666652,0.016899791666666653,0.04222833333333331,0.007915208333333318,0.02923333333333333,0.035065208333333306,0.059552291666666646,0.6119349651599072,0.3880650348400928,complete
d2_5_a,d2_5,a,p12,integrated_equal_alpha,integrated,-0.0005833333333333195,0.009783333333333338,0.01036666666666666,0.020149999999999998,-0.009541875000000003,0.008492083333333357,0.005391458333333339,0.015117083333333335,0.004749374999999982,0.016450624999999997,0.01465749999999999,0.026001458333333335,0.48552522746071164,0.5144747725392884,complete
d2_5_b,d2_5,b,p08,integrated_equal_alpha,integrated,0.1254,0.12656666666666666,0.0011666666666666694,0.12773333333333337,0.09683062500000002,0.15498479166666665,0.09848291666666667,0.1553035416666666,0.0001750000000000027,0.0027502083333333337,0.10041187500000001,0.15600416666666664,0.9908663883089768,0.009133611691022983,complete
d2_5_b,d2_5,b,p09,integrated_equal_alpha,integrated,0.1899666666666667,0.19438333333333332,0.004416666666666665,0.1988,0.14258916666666668,0.23737291666666663,0.14912895833333334,0.240500625,0.001608125000000002,0.007850624999999988,0.15450729166666669,0.24354479166666668,0.9777833668678738,0.02221663313212608,complete
d2_5_b,d2_5,b,p10,integrated_equal_alpha,integrated,0.31545833333333334,0.31825833333333337,0.0028,0.32105833333333333,0.25258145833333334,0.37706937499999993,0.25645979166666666,0.37869437499999997,0.0009747916666666672,0.0051833333333333315,0.2602666666666667,0.38046,0.9912788434085188,0.008721156591481299,complete
