finding_type,panel_id,analysis_id,outcome,point_effect,lower_95,upper_95,holm_adjusted_p,status,note
panel_effect,d2_10_b,common_grid_all5,AG,0.03296663892873197,-0.005793046682685629,0.056368877244983906,0.6864131358686414,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,common_grid_all5,OC,0.061822916666666394,0.04551822916666668,0.07619921875,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,common_grid_no_axis,AG,-0.08422081865820352,-0.13355143630691488,-0.057426546971235455,0.013749862501374985,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,common_grid_no_axis,OC,-0.12760416666666663,-0.15538628472222227,-0.09773871527777779,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,native_all5,AG,0.126211334894523,0.0904820367821554,0.15705169718623793,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,native_all5,OC,0.0632031249999997,0.03802083333333335,0.086224609375,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,native_no_axis,AG,0.18717207370821176,0.12971477016548075,0.24304744969653835,0.0009199908000919991,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,native_no_axis,OC,0.13072916666666679,0.08124782986111112,0.17257161458333334,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,common_grid_all5,AG,0.1735888801491886,0.12616231489985497,0.22023894723246074,0.001899981000189998,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,common_grid_all5,OC,0.07552083333333315,0.034686197916666675,0.11182291666666669,0.014959850401495986,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,common_grid_no_axis,AG,0.18872292623354253,0.13260452624354477,0.24801118257272728,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_20_a,common_grid_no_axis,OC,0.15972222222222243,0.10520399305555556,0.20521701388888883,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
