panel_id,endpoint_id,protocol_id,analysis_id,representation,perturbation_scope,metric_output_id,ag_state,oc_state,ag,oc,ag_sst,ag_sse_pooled,ag_sse_separate,ag_r2_pooled,ag_r2_separate,delta_ag,delta_oc,cluster_count,condition_count,historical_ag_lower,historical_ag_upper,historical_oc_lower,historical_oc_upper,historical_raw_p_ag,historical_raw_p_oc,bootstrap_ag_lower,bootstrap_ag_upper,bootstrap_oc_lower,bootstrap_oc_upper,bootstrap_delta_ag_lower,bootstrap_delta_ag_upper,bootstrap_delta_oc_lower,bootstrap_delta_oc_upper,raw_p_ag,raw_p_oc,p_for_adjustment_ag,p_for_adjustment_oc,adjusted_p_ag,adjusted_p_oc,family_id_ag,family_id_oc,family_size_ag,family_size_oc,holm_rank_ag,holm_rank_oc,failed_sst_draw_count
d1_a,d1,a,native_all5,native,all5,mse,complete,complete,0.13791234504722982,0.768984375,88.65191248,48.8460692993511,36.61987615631252,0.449012796984263,0.5869251420314929,0.0,0.0,30,40,0.10576825840462366,0.17882890056450354,0.7288496093749999,0.8011738281249998,,,0.10599409325121009,0.17745790022656363,0.7270195312499999,0.8014928385416664,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,rmse,complete,complete,0.13745149786247934,0.769921875,88.65191248,48.80434320031039,36.61900504156097,0.44948347040656655,0.5869349682690459,0.00046084718475047914,0.0009374999999999245,30,40,0.1055730966031045,0.17881856226040954,0.73038671875,0.8017200520833335,0.8591114088859111,0.32619673803261967,0.10560100572656571,0.17734372618833522,0.7279947916666668,0.8025026041666666,-0.0003509247138171547,0.0030351751661909505,-0.00018229166666666,0.0027343750000000185,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,mae,complete,complete,0.13259187071189085,0.7804947916666667,88.65191248,48.25648454227802,36.50196162436799,0.4556633557886892,0.58825522650058,0.0053204743353389705,0.011510416666666634,30,40,0.10454176837579665,0.17188742032262275,0.7399173177083335,0.812890625,0.26471735282647174,0.00012999870001299986,0.1063548871322343,0.171841910034669,0.7385065104166667,0.812736328125,-0.004084777201142703,0.011053103066619097,0.006770833333333339,0.016249999999999994,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,sam,complete,complete,0.14281020017039547,0.7689843749999999,88.65191248,50.2715110528751,37.61111368611792,0.43293371066059716,0.5757439108309925,-0.004897855123165651,-1.1102230246251565e-16,30,40,0.110648906052743,0.18501883839717395,0.7288528645833332,0.8010729166666666,0.43968560314396854,1.0,0.11326162663412702,0.1849377846568542,0.7277057291666668,0.8016406249999998,-0.0181392954123809,0.0036062064986088676,-0.0022141927083333185,0.0023444010416666886,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,pearson_r,complete,complete,0.1362413932242301,0.7703385416666666,88.65191248,49.43930485937132,37.36124479110361,0.44232105685791157,0.5785624500821416,0.0016709518229997278,0.0013541666666665453,30,40,0.10698854737040474,0.17550583387106783,0.7301809895833333,0.8027604166666665,0.6468435315646843,0.5190748092519075,0.10676567107116516,0.1769714314548388,0.728984375,0.8026582031249999,-0.005976992033480659,0.0070001624506651665,-0.0028652343749999906,0.005078776041666672,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,nmse,complete,complete,0.11819446589497339,0.7684895833333335,88.65191248,49.55215154544223,39.073986099300704,0.4410481380576954,0.5592426039526688,0.019717879152256437,-0.0004947916666665497,30,40,0.09014747604936534,0.1561389448531792,0.7286145833333334,0.800759765625,0.0016599834001659983,0.7066929330706693,0.09143491522016381,0.15772471966606527,0.7260924479166667,0.8016152343749998,0.008868686482774652,0.028994167987065826,-0.002083333333333319,0.0005208333333333482,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,wasserstein_1_cm1,complete,complete,0.03914087083254116,0.8309895833333335,88.65191248,40.59476135899604,37.124848303558615,0.5420881487677518,0.581229019600293,0.09877147421468865,0.06200520833333345,30,40,0.030316385723444618,0.06481416348973795,0.7863255208333335,0.86713671875,0.0004599954000459995,4.999950000499995e-05,0.0307942565457354,0.06437192160845931,0.7876458333333332,0.8650800781250001,0.05927664176439863,0.13209836381950693,0.03541601562500001,0.08661458333333331,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,is_like_structure_to_noise,complete,complete,0.38029605838842234,0.29752604166666674,88.65191248,88.6056375564189,54.891664671679514,0.0005219844929068573,0.38081804288132914,-0.24238371334119252,-0.4714583333333333,30,40,0.2831428703842211,0.491804972954434,0.27380143229166665,0.32721419270833335,0.0003899961000389996,9.99990000099999e-06,0.2770335126978285,0.48857992281903073,0.27494726562500005,0.326849609375,-0.33463895426095813,-0.15244594453069424,-0.5166015625,-0.40958072916666655,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,precision,complete,complete,0.35679836757739763,0.613671875,88.65191248,69.54434534894403,37.91348769346571,0.21553474252872606,0.5723331101061238,-0.2188860225301678,-0.15531250000000008,30,40,0.3015451863418483,0.44888039849762357,0.5971608072916665,0.6280475260416667,1.999980000199998e-05,9.99990000099999e-06,0.2979756265270602,0.4477630995848325,0.5961191406249999,0.6280208333333336,-0.29198872898687317,-0.17489858039053385,-0.18380338541666663,-0.12103971354166664,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,recall,complete,complete,0.3544911724417275,0.6195052083333333,88.65191248,68.00282902313313,36.57650862889652,0.23292315844314504,0.5874143308848725,-0.21657882739449769,-0.14947916666666672,30,40,0.3034124957020441,0.43752019734884046,0.6034889322916667,0.6330475260416668,9.99990000099999e-06,9.99990000099999e-06,0.30140170911873676,0.4351399252987578,0.6022890625000001,0.6330996093749999,-0.27755094080034065,-0.18392002184642306,-0.17674739583333332,-0.11715169270833338,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,f1,complete,complete,0.36071038210306483,0.6182552083333331,88.65191248,68.38973339062854,36.41206816580028,0.22855884912739632,0.589269231230461,-0.222798037055835,-0.1507291666666669,30,40,0.3081152915818421,0.4470609218026588,0.6021080729166666,0.6322708333333333,9.99990000099999e-06,9.99990000099999e-06,0.3048055568838675,0.4440912020699158,0.6007272135416668,0.6323183593750001,-0.2859730848593275,-0.1854829528053751,-0.17828190104166666,-0.118015625,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,artifact_peak_ratio,complete,complete,0.35679836757739763,0.613671875,88.65191248,69.54434534894403,37.91348769346571,0.21553474252872606,0.5723331101061238,-0.2188860225301678,-0.15531250000000008,30,40,0.3015451863418483,0.44888039849762357,0.5971608072916665,0.6280475260416667,1.999980000199998e-05,9.99990000099999e-06,0.2979756265270602,0.4477630995848325,0.5961191406249999,0.6280208333333336,-0.29198872898687317,-0.17489858039053385,-0.18380338541666663,-0.12103971354166664,,,,,,,,,,,,,0
d1_a,d1,a,native_all5,native,all5,missing_peak_ratio,complete,complete,0.3544911724417275,0.6195052083333333,88.65191248,68.00282902313313,36.57650862889652,0.23292315844314504,0.5874143308848725,-0.21657882739449769,-0.14947916666666672,30,40,0.3034124957020441,0.43752019734884046,0.6034889322916667,0.6330475260416668,9.99990000099999e-06,9.99990000099999e-06,0.30140170911873676,0.4351399252987578,0.6022890625000001,0.6330996093749999,-0.27755094080034065,-0.18392002184642306,-0.17674739583333332,-0.11715169270833338,,,,,,,,,,,,,0
d1_a,d1,a,native_no_axis,native,no_axis,mse,complete,complete,0.20580114194386903,0.6932291666666668,56.51347731111111,37.80095608882478,26.170417922979183,0.33111608261640735,0.5369172245602764,0.0,0.0,30,24,,,,,,,0.14775425703396358,0.2837189229878956,0.6691840277777777,0.7161501736111112,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
d1_a,d1,a,native_no_axis,native,no_axis,rmse,complete,complete,0.20507821732069909,0.6963541666666668,56.51347731111111,37.759229989784075,26.169546808227633,0.3318544215229128,0.536932638843612,0.000722924623169946,0.0031250000000000444,30,24,,,,,,,0.14761314305146028,0.2836572487177063,0.6709179687499998,0.7201432291666666,-0.0005300244602875869,0.004676825807304718,-0.0006076388888888915,0.00911458333333333,0.8583114168858311,0.3257567424325757,0.8583114168858311,0.3257567424325757,1.0,1.0,other_metrics_secondary_726,other_metrics_secondary_726,726,726,702,607,0
d1_a,d1,a,native_no_axis,native,no_axis,mae,complete,complete,0.19737584699974667,0.7315972222222221,56.51347731111111,37.20689884221618,26.052503391034655,0.3416278627239784,0.539003709723725,0.008425294944122363,0.038368055555555336,30,24,,,,,,,0.14725706652039222,0.27138435125983235,0.7103276909722221,0.7486132812500002,-0.00624765314574344,0.018243901591877738,0.02256944444444445,0.05416666666666667,0.26246737532624675,0.00010999890001099989,0.26246737532624675,0.00010999890001099989,1.0,0.03915960840391596,other_metrics_secondary_726,other_metrics_secondary_726,726,726,597,371,0
