panel_id,endpoint_id,protocol_id,representation,metric_output_id,left_family,right_family,state,pair_count_per_cluster,pair_count_total,oc,strict_agreement_count,strict_incorrect_count,metric_tie_count,downstream_tie_count,double_tie_count,bootstrap_lower,bootstrap_upper
d1_a,d1,a,native,pearson_r,p08,p11,complete,64,1920,0.83984375,1600,295,0,25,0,0.7494335937500001,0.9106770833333333
d1_a,d1,a,native,pearson_r,p08,p12,complete,64,1920,0.9109375,1736,158,0,26,0,0.8270833333333333,0.9703190104166667
d1_a,d1,a,native,pearson_r,p09,p10,complete,64,1920,0.6229166666666667,1192,720,0,8,0,0.5994791666666667,0.6500130208333332
d1_a,d1,a,native,pearson_r,p09,p11,complete,64,1920,0.68203125,1289,590,0,41,0,0.5791666666666667,0.77474609375
d1_a,d1,a,native,pearson_r,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,pearson_r,p10,p11,complete,64,1920,0.88359375,1686,213,0,21,0,0.8210807291666666,0.9291666666666667
d1_a,d1,a,native,pearson_r,p10,p12,complete,64,1920,0.9549479166666667,1825,78,0,17,0,0.91978515625,0.9802083333333333
d1_a,d1,a,native,pearson_r,p11,p12,complete,64,1920,0.5,0,0,1785,0,135,0.5,0.5
d1_a,d1,a,native,nmse,p08,p09,complete,64,1920,0.6390625,1217,683,0,20,0,0.6036393229166667,0.6744856770833333
d1_a,d1,a,native,nmse,p08,p10,complete,64,1920,0.8111979166666666,1476,281,149,12,2,0.7671809895833334,0.8484440104166666
d1_a,d1,a,native,nmse,p08,p11,complete,64,1920,0.83984375,1600,295,0,25,0,0.7494335937500001,0.9106770833333333
d1_a,d1,a,native,nmse,p08,p12,complete,64,1920,0.9109375,1736,158,0,26,0,0.8270833333333333,0.9703190104166667
d1_a,d1,a,native,nmse,p09,p10,complete,64,1920,0.6244791666666667,1195,717,0,8,0,0.5979166666666667,0.6510416666666666
d1_a,d1,a,native,nmse,p09,p11,complete,64,1920,0.68203125,1289,590,0,41,0,0.5791666666666667,0.77474609375
d1_a,d1,a,native,nmse,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,nmse,p10,p11,complete,64,1920,0.88359375,1686,213,0,21,0,0.8210807291666666,0.9291666666666667
d1_a,d1,a,native,nmse,p10,p12,complete,64,1920,0.9549479166666667,1825,78,0,17,0,0.91978515625,0.9802083333333333
d1_a,d1,a,native,nmse,p11,p12,complete,64,1920,0.5,0,0,1785,0,135,0.5,0.5
d1_a,d1,a,native,wasserstein_1_cm1,p08,p09,complete,64,1920,0.8067708333333333,1539,361,0,20,0,0.7322786458333334,0.8671940104166667
d1_a,d1,a,native,wasserstein_1_cm1,p08,p10,complete,64,1920,0.7432291666666667,1420,486,0,14,0,0.6833268229166667,0.7958333333333333
d1_a,d1,a,native,wasserstein_1_cm1,p08,p11,complete,64,1920,0.83984375,1600,295,0,25,0,0.7494335937500001,0.9106770833333333
d1_a,d1,a,native,wasserstein_1_cm1,p08,p12,complete,64,1920,0.9109375,1736,158,0,26,0,0.8270833333333333,0.9703190104166667
d1_a,d1,a,native,wasserstein_1_cm1,p09,p10,complete,64,1920,0.925,1772,140,0,8,0,0.8994791666666667,0.9458333333333333
d1_a,d1,a,native,wasserstein_1_cm1,p09,p11,complete,64,1920,0.7393229166666667,1399,480,0,41,0,0.6721354166666667,0.7986979166666667
d1_a,d1,a,native,wasserstein_1_cm1,p09,p12,complete,64,1920,0.8502604166666666,1612,267,0,41,0,0.79166015625,0.8927083333333333
d1_a,d1,a,native,wasserstein_1_cm1,p10,p11,complete,64,1920,0.88359375,1686,213,0,21,0,0.8210807291666666,0.9291666666666667
d1_a,d1,a,native,wasserstein_1_cm1,p10,p12,complete,64,1920,0.9549479166666667,1825,78,0,17,0,0.91978515625,0.9802083333333333
d1_a,d1,a,native,wasserstein_1_cm1,p11,p12,complete,64,1920,0.6559895833333333,1192,593,0,135,0,0.53931640625,0.7627604166666667
d1_a,d1,a,native,is_like_structure_to_noise,p08,p09,complete,64,1920,0.21145833333333333,396,1504,0,20,0,0.15130208333333334,0.28569661458333323
d1_a,d1,a,native,is_like_structure_to_noise,p08,p10,complete,64,1920,0.18958333333333333,357,1549,0,14,0,0.15625,0.22994791666666667
d1_a,d1,a,native,is_like_structure_to_noise,p08,p11,complete,64,1920,0.16015625,295,1600,0,25,0,0.08932291666666667,0.25056640624999976
d1_a,d1,a,native,is_like_structure_to_noise,p08,p12,complete,64,1920,0.0890625,158,1736,0,26,0,0.02968098958333333,0.17291666666666666
d1_a,d1,a,native,is_like_structure_to_noise,p09,p10,complete,64,1920,0.14270833333333333,270,1642,0,8,0,0.1203125,0.16979166666666667
d1_a,d1,a,native,is_like_structure_to_noise,p09,p11,complete,64,1920,0.68203125,1289,590,0,41,0,0.5791666666666667,0.77474609375
d1_a,d1,a,native,is_like_structure_to_noise,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,is_like_structure_to_noise,p10,p11,complete,64,1920,0.11640625,213,1686,0,21,0,0.07083333333333333,0.17891927083333325
d1_a,d1,a,native,is_like_structure_to_noise,p10,p12,complete,64,1920,0.04505208333333333,78,1825,0,17,0,0.019791666666666666,0.08021484374999997
d1_a,d1,a,native,is_like_structure_to_noise,p11,p12,complete,64,1920,0.5,0,0,1785,0,135,0.5,0.5
d1_a,d1,a,native,precision,p08,p09,complete,64,1920,0.21145833333333333,396,1504,0,20,0,0.15130208333333334,0.28569661458333323
d1_a,d1,a,native,precision,p08,p10,complete,64,1920,0.5625,1073,833,0,14,0,0.49817057291666667,0.6312565104166666
d1_a,d1,a,native,precision,p08,p11,complete,64,1920,0.7091145833333333,1349,546,0,25,0,0.6650976562500001,0.7463541666666667
d1_a,d1,a,native,precision,p08,p12,complete,64,1920,0.7208333333333333,1371,523,0,26,0,0.6807161458333334,0.75
d1_a,d1,a,native,precision,p09,p10,complete,64,1920,0.171875,326,1586,0,8,0,0.15,0.1989713541666666
d1_a,d1,a,native,precision,p09,p11,complete,64,1920,0.68515625,1295,584,0,41,0,0.6393033854166666,0.7216341145833332
d1_a,d1,a,native,precision,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,precision,p10,p11,complete,64,1920,0.73828125,1407,492,0,21,0,0.7127604166666667,0.7580729166666667
d1_a,d1,a,native,precision,p10,p12,complete,64,1920,0.9049479166666666,1729,174,0,17,0,0.8859309895833334,0.91953125
d1_a,d1,a,native,precision,p11,p12,complete,64,1920,0.59375,856,496,433,88,47,0.5281184895833333,0.6505338541666665
d1_a,d1,a,native,recall,p08,p09,complete,64,1920,0.21145833333333333,396,1504,0,20,0,0.15130208333333334,0.28569661458333323
d1_a,d1,a,native,recall,p08,p10,complete,64,1920,0.6380208333333334,1218,688,0,14,0,0.5773372395833334,0.6986979166666667
d1_a,d1,a,native,recall,p08,p11,complete,64,1920,0.72109375,1372,523,0,25,0,0.6747265625,0.7604296874999998
d1_a,d1,a,native,recall,p08,p12,complete,64,1920,0.7208333333333333,1371,523,0,26,0,0.6807161458333334,0.75
d1_a,d1,a,native,recall,p09,p10,complete,64,1920,0.14322916666666666,271,1641,0,8,0,0.12083333333333333,0.17032552083333327
d1_a,d1,a,native,recall,p09,p11,complete,64,1920,0.6903645833333333,1305,574,0,41,0,0.6421875,0.7299544270833334
d1_a,d1,a,native,recall,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,recall,p10,p11,complete,64,1920,0.73828125,1407,492,0,21,0,0.7127604166666667,0.7580729166666667
d1_a,d1,a,native,recall,p10,p12,complete,64,1920,0.89921875,1718,185,0,17,0,0.8801953125,0.91484375
