panel_id,endpoint_id,protocol_id,component,positive_harm_share,positive_harm_share_lower,positive_harm_share_upper,positive_denominator_state,absolute_harm_share,absolute_harm_share_lower,absolute_harm_share_upper,absolute_denominator_state
d2_10_b,d2_10,b,p12,0.005124059449039225,0.0011767243970944093,0.012367631168364708,complete,0.03811546414799082,0.02912321674472345,0.04864362370996082,complete
d2_10_b,d2_10,b,axis_p11_p12,0.008780548473353625,0.0014732523365245005,0.02280150112350868,complete,0.09480802548482645,0.07519088421065748,0.11780674138723315,complete
d2_20_a,d2_20,a,p08,0.3806755937021846,0.35987346649920854,0.3999429550572373,complete,0.3686938192460455,0.3501876033810279,0.38608138333705055,complete
d2_20_a,d2_20,a,p09,0.12676209359806614,0.11163619595929158,0.14059401481494174,complete,0.12282245139711519,0.10862210871357017,0.13671915716700742,complete
d2_20_a,d2_20,a,p10,0.410824709599732,0.3912787371414095,0.43125792809107655,complete,0.3965751515573827,0.3768600502897128,0.41740240108032295,complete
d2_20_a,d2_20,a,p11,0.0636843487157201,0.041441095011376564,0.08810660742812779,complete,0.08288621002020764,0.061438025908164634,0.10646908167839211,complete
d2_20_a,d2_20,a,p12,0.018053254384297127,0.011608686734842397,0.025104685201377232,complete,0.029022367779248857,0.02072998624980696,0.03844721942699119,complete
d2_20_a,d2_20,a,axis_p11_p12,0.08173760310001722,0.05333822832937743,0.11317598469947472,complete,0.1119085777994565,0.08274108693185347,0.14298787749614864,complete
d2_20_b,d2_20,b,p08,0.04008771156003078,0.02662481715511634,0.054942120458618994,complete,0.041080737593993825,0.028735105029635492,0.054137438489981406,complete
d2_20_b,d2_20,b,p09,0.3157994228176079,0.2929822265154411,0.3357958314584302,complete,0.30416926534790945,0.286116890833838,0.3212590719372824,complete
d2_20_b,d2_20,b,p10,0.6355937543320185,0.6136675024612492,0.6581083741823782,complete,0.5951117334870968,0.5703748510187512,0.620047159835381,complete
d2_20_b,d2_20,b,p11,0.003226172322970094,0.0009357404659971061,0.006533247320497103,complete,0.03467915602678307,0.026656657442304936,0.043841981868930194,complete
