panel_id,endpoint_id,protocol_id,family,alpha,scope,signed_mean,positive_mean,negative_mean,absolute_mean,signed_mean_lower,signed_mean_upper,positive_mean_lower,positive_mean_upper,negative_mean_lower,negative_mean_upper,absolute_mean_lower,absolute_mean_upper,positive_absolute_share,negative_absolute_share,zero_denominator_state
d1_a,d1,a,p08,0.05,alpha,0.06753333333333332,0.0742,0.006666666666666666,0.08086666666666664,0.03819666666666665,0.09566666666666666,0.049798333333333326,0.09933333333333334,0.0,0.017066666666666664,0.0576,0.10560166666666666,0.9175597691673539,0.08244023083264634,complete
d1_a,d1,a,p08,0.1,alpha,0.19046666666666662,0.19939999999999997,0.008933333333333333,0.20833333333333331,0.13486333333333325,0.24180499999999996,0.1502,0.24480333333333332,0.0,0.023866666666666668,0.163665,0.2502,0.95712,0.04288,complete
d1_a,d1,a,p08,0.2,alpha,0.34193333333333337,0.35220000000000007,0.010266666666666665,0.36246666666666677,0.25353166666666666,0.4251549999999999,0.2730616666666667,0.42933999999999994,0.0,0.029066666666666664,0.28853166666666663,0.43495333333333325,0.9716755563729997,0.028324443627000172,complete
d1_a,d1,a,p08,0.3,alpha,0.42673333333333324,0.4356666666666666,0.008933333333333331,0.4446,0.3252633333333333,0.5188683333333334,0.3431133333333332,0.5233483333333332,0.0,0.026399999999999993,0.3559899999999999,0.53168,0.9799070325386113,0.02009296746138851,complete
d1_a,d1,a,p08,0.4,alpha,0.4861333333333333,0.4938,0.007666666666666666,0.5014666666666667,0.3775950000000001,0.5854849999999998,0.39272666666666667,0.5872766666666666,0.0,0.023,0.40566333333333326,0.5906783333333333,0.9847115128955064,0.015288487104493483,complete
d1_a,d1,a,p08,0.5,alpha,0.5181333333333334,0.5252000000000001,0.007066666666666667,0.5322666666666668,0.4095316666666666,0.6161400000000001,0.42318999999999996,0.6194683333333334,0.0,0.021200000000000004,0.43767666666666666,0.6224033333333335,0.9867234468937875,0.013276553106212423,complete
d1_a,d1,a,p08,0.65,alpha,0.5493333333333333,0.5556,0.006266666666666667,0.5618666666666666,0.4407833333333333,0.6460049999999998,0.4517966666666667,0.6466016666666666,0.0,0.0188,0.46558999999999995,0.6495416666666667,0.9888467014712863,0.011153298528713813,complete
d1_a,d1,a,p08,0.8,alpha,0.5685333333333332,0.5736,0.005066666666666667,0.5786666666666667,0.4603833333333333,0.6636,0.47124833333333327,0.6658733333333331,0.0,0.015200000000000002,0.48056999999999994,0.6673533333333334,0.9912442396313365,0.008755760368663596,complete
d1_a,d1,a,p08,integrated_equal_alpha,integrated,0.3936,0.4012083333333333,0.007608333333333332,0.4088166666666666,0.30953125,0.4695508333333333,0.3271091666666666,0.4709797916666666,0.0,0.02178333333333333,0.3387931249999999,0.4742952083333332,0.9813893758408415,0.018610624159158547,complete
d1_a,d1,a,p09,0.05,alpha,0.008733333333333319,0.01153333333333332,0.0028000000000000043,0.014333333333333328,0.002798333333333302,0.014266666666666648,0.007266666666666656,0.015999999999999993,0.0005333333333333301,0.006133333333333352,0.010133333333333338,0.01873333333333334,0.804651162790697,0.19534883720930268,complete
