panel_id,metric_output_id,profile,d_ag,d_acc,d_ag_adjusted_p_value,d_acc_adjusted_p_value
d2_10_b,pearson_r,Unresolved,0.0066803217355428934,-0.0031249999999999334,0.8308716912830871,0.6030439695603044
d2_10_b,wasserstein_1_cm1,Both −,-0.061476929824742066,-0.06479166666666647,0.008469915300846991,0.00023999760002399976
d2_10_b,is_like_structure_to_noise,Both −,-0.1804531650450822,-0.4047916666666666,0.001079989200107999,0.00023999760002399976
d2_10_b,precision,Both −,-0.1399515074513586,-0.1126041666666665,0.00023999760002399976,0.00023999760002399976
d2_10_b,recall,Both −,-0.15031648749205917,-0.11395833333333327,0.00023999760002399976,0.00023999760002399976
d2_10_b,f1,Both −,-0.1391906723158573,-0.11187500000000006,0.00023999760002399976,0.00023999760002399976
d2_10_b,artifact_peak_ratio,Both −,-0.1399515074513586,-0.1126041666666665,0.00023999760002399976,0.00023999760002399976
d2_10_b,missing_peak_ratio,Both −,-0.15031648749205917,-0.11395833333333327,0.00023999760002399976,0.00023999760002399976
d2_20_b,rmse,Unresolved,-4.004726499740041e-05,-0.00033854166666669183,0.8991410085899141,0.7186328136718633
d2_20_b,mae,OC −,-0.003683761741978875,-0.0029687499999999645,0.7186328136718633,0.026199738002619974
d2_20_b,nmse,OC −,0.01589865709092364,-0.001979166666666754,0.4057859421405786,0.002519974800251998
d2_20_b,sam,Unresolved,0.01689809037173734,-0.002135416666666612,0.26247737522624776,0.7186328136718633
d2_20_b,pearson_r,Unresolved,0.009171830417205096,-0.003750000000000031,0.48424515754842457,0.4057859421405786
d2_20_b,wasserstein_1_cm1,Both −,-0.04649590134066395,-0.05161458333333335,0.04076959230407696,0.00023999760002399976
d2_20_b,is_like_structure_to_noise,Both −,-0.11245147263981775,-0.4003125,0.0026399736002639972,0.00023999760002399976
d2_20_b,precision,Both −,-0.05548472572854679,-0.0977083333333334,0.0007999920000799992,0.00023999760002399976
d2_20_b,recall,Both −,-0.07134772545406148,-0.09854166666666675,0.0013999860001399985,0.00023999760002399976
d2_20_b,f1,Both −,-0.05804909360586563,-0.0965625000000001,0.0005099949000509995,0.00023999760002399976
d2_20_b,artifact_peak_ratio,Both −,-0.05548472572854679,-0.0977083333333334,0.0007999920000799992,0.00023999760002399976
d2_20_b,missing_peak_ratio,Both −,-0.07134772545406148,-0.09854166666666675,0.0013999860001399985,0.00023999760002399976
d4_a,rmse,Unresolved,0.00027517203351482,0.000514322916666532,1.0,0.07439925600743992
d4_a,mae,OC −,0.006316712165277044,-0.004352213541666594,0.4802651973480265,0.00023999760002399976
d4_a,nmse,AG +,0.06374423472194957,-3.580729166652308e-05,0.00023999760002399976,1.0
d4_a,sam,Unresolved,0.007448516621441997,0.000270182291666643,1.0,1.0
d4_a,pearson_r,AG +,0.025571147614214224,6.835937500004885e-05,0.00023999760002399976,1.0
d4_a,wasserstein_1_cm1,OC −,0.012898677873667636,-0.011416015624999942,0.7605523944760553,0.00023999760002399976
d4_a,is_like_structure_to_noise,Both −,-0.012137324123137255,-0.5622819010416666,0.0014399856001439987,0.00023999760002399976
d4_a,precision,Both −,-0.31439762180625697,-0.2185156250000001,0.00023999760002399976,0.00023999760002399976
d4_a,recall,Both −,-0.37203066279749464,-0.22004231770833327,0.00023999760002399976,0.00023999760002399976
