endpoint_id,analysis_id,representation,perturbation_scope,metric_output_id,outcome,state,delta_a,delta_b,interaction,bootstrap_lower,bootstrap_upper,shared_endpoint_draws
d2_20,native_all5,native,all5,wasserstein_1_cm1,oc,complete,0.0632031249999997,-0.05161458333333335,-0.11481770833333305,-0.14205859375,-0.08458268229166667,True
d2_20,native_no_axis,native,no_axis,wasserstein_1_cm1,ag,complete,0.18717207370821176,-0.05717590174236814,-0.2443479754505799,-0.3265856403682387,-0.1779821350468911,True
d2_20,native_no_axis,native,no_axis,wasserstein_1_cm1,oc,complete,0.13072916666666679,-0.10017361111111123,-0.230902777777778,-0.28125,-0.16918185763888893,True
d2_20,common_grid_all5,common_grid,all5,wasserstein_1_cm1,ag,complete,0.1735888801491886,0.017480964279140254,-0.15610791587004835,-0.21696667020822982,-0.11358282927367343,True
d2_20,common_grid_all5,common_grid,all5,wasserstein_1_cm1,oc,complete,0.07552083333333315,0.060416666666666674,-0.015104166666666474,-0.05380338541666673,0.027084635416666634,True
d2_20,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,ag,complete,0.18872292623354253,-0.06328237754731053,-0.25200530378085306,-0.3466272469822103,-0.19214218772905434,True
d2_20,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,oc,complete,0.15972222222222243,-0.11215277777777788,-0.2718750000000003,-0.3267361111111111,-0.20624565972222222,True
d4,native_all5,native,all5,wasserstein_1_cm1,ag,complete,0.012898677873667636,-0.08075308363789407,-0.09365176151156171,-0.12476282070542198,-0.06788917058951023,True
d4,native_all5,native,all5,wasserstein_1_cm1,oc,complete,-0.011416015624999942,-0.11821940104166662,-0.10680338541666667,-0.11327848307291667,-0.10031551106770834,True
d4,native_no_axis,native,no_axis,wasserstein_1_cm1,ag,complete,0.014985216129882684,-0.09180478489501465,-0.10679000102489733,-0.15061333598735055,-0.07408131810696485,True
d4,native_no_axis,native,no_axis,wasserstein_1_cm1,oc,complete,-0.0595594618055556,-0.343088107638889,-0.28352864583333337,-0.3009662543402778,-0.26603298611111115,True
d4,common_grid_all5,common_grid,all5,wasserstein_1_cm1,ag,complete,0.016577609448083147,-0.07709908316883213,-0.09367669261691527,-0.12481594435891072,-0.06813686371490563,True
d4,common_grid_all5,common_grid,all5,wasserstein_1_cm1,oc,complete,-0.015195312499999836,-0.11126302083333339,-0.09606770833333356,-0.10188834635416665,-0.090455078125,True
d4,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,ag,complete,0.01925328975251589,-0.0933019575281081,-0.112555247280624,-0.15749930808405285,-0.07850253730864942,True
d4,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,oc,complete,-0.060134548611111005,-0.36881510416666663,-0.3086805555555556,-0.3267795138888889,-0.2915766059027778,True
d5,native_all5,native,all5,wasserstein_1_cm1,ag,complete,0.005123125157141164,-0.005843929312280496,-0.01096705446942166,-0.016132203368271245,-0.007025013545815935,True
d5,native_all5,native,all5,wasserstein_1_cm1,oc,complete,0.0060618575624084015,-0.0012573421439061594,-0.007319199706314561,-0.009260737885462555,-0.005323025651615272,True
d5,native_no_axis,native,no_axis,wasserstein_1_cm1,ag,complete,0.0055328994015393825,-0.0062801902942568755,-0.011813089695796258,-0.01741878381637203,-0.007644347018283798,True
d5,native_no_axis,native,no_axis,wasserstein_1_cm1,oc,complete,0.018286527165932376,-0.003908162016642125,-0.0221946891825745,-0.028160754711209005,-0.016219445974057767,True
d5,common_grid_all5,common_grid,all5,wasserstein_1_cm1,ag,unavailable,,,,,,True
d5,common_grid_all5,common_grid,all5,wasserstein_1_cm1,oc,unavailable,,,,,,True
d5,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,ag,unavailable,,,,,,True
d5,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,oc,unavailable,,,,,,True
