panel_id,endpoint_id,protocol_id,representation,perturbation_scope,metric_output_id,family,state,sst,pooled_sse,separate_sse,pooled_r2,separate_r2,d_p,zero_metric_harm_proportion,mean_downstream,pooled_prediction_at_zero,n,expected_constant_sse,actual_raw_residual_improvement,identity_error
d1_a,d1,a,native,all5,mse,p08,complete,88.65191248,14.971448125735611,13.711709283370336,0.449012796984263,0.5869251420314929,0.014209945472405611,0.0,,,,,,
d1_a,d1,a,native,all5,mse,p09,complete,88.65191248,10.137293286994613,2.508989850783476,0.449012796984263,0.5869251420314929,0.08604781580918623,0.0,,,,,,
d1_a,d1,a,native,all5,mse,p10,complete,88.65191248,12.710002204462263,9.949718788825374,0.449012796984263,0.5869251420314929,0.03113619704774687,0.0,,,,,,
d1_a,d1,a,native,all5,mse,p11,complete,88.65191248,9.47837332061147,9.173154250000001,0.449012796984263,0.5869251420314929,0.0034428932447489718,1.0,0.090375,0.05471345029239767,240,0.3052190706114699,0.3052190706114679,-1.9984014443252818e-15
d1_a,d1,a,native,all5,mse,p12,complete,88.65191248,1.5489523615471432,1.2763039833333334,0.449012796984263,0.5869251420314929,0.003075493473142156,1.0,0.02100833333333333,0.05471345029239767,240,0.2726483782138096,0.2726483782138098,2.220446049250313e-16
d1_a,d1,a,native,all5,rmse,p08,complete,88.65191248,15.001200456073402,13.711709283370336,0.44948347040656655,0.5869349682690459,0.014545553915647073,0.0,,,,,,
d1_a,d1,a,native,all5,rmse,p09,complete,88.65191248,10.052701533048964,2.50816039317478,0.44948347040656655,0.5869349682690459,0.08510297103377489,0.0,,,,,,
d1_a,d1,a,native,all5,rmse,p10,complete,88.65191248,12.72311552902941,9.949677131682517,0.44948347040656655,0.5869349682690459,0.03128458619516623,0.0,,,,,,
d1_a,d1,a,native,all5,rmse,p11,complete,88.65191248,9.47837332061147,9.173154250000001,0.44948347040656655,0.5869349682690459,0.0034428932447489718,1.0,,,,,,
d1_a,d1,a,native,all5,rmse,p12,complete,88.65191248,1.5489523615471432,1.2763039833333334,0.44948347040656655,0.5869349682690459,0.003075493473142156,1.0,,,,,,
d1_a,d1,a,native,all5,mae,p08,complete,88.65191248,14.596008030313577,13.617995671596145,0.4556633557886892,0.58825522650058,0.011032050311808806,0.0,,,,,,
d1_a,d1,a,native,all5,mae,p09,complete,88.65191248,9.619520354416746,2.5102003535612534,0.4556633557886892,0.58825522650058,0.08019364503229827,0.0,,,,,,
d1_a,d1,a,native,all5,mae,p10,complete,88.65191248,13.013344107472143,9.92430736587726,0.4556633557886892,0.58825522650058,0.03484455839902806,0.0,,,,,,
d1_a,d1,a,native,all5,mae,p11,complete,88.65191248,9.482981186447798,9.173154250000001,0.4556633557886892,0.58825522650058,0.0034948703054510353,1.0,,,,,,
d1_a,d1,a,native,all5,mae,p12,complete,88.65191248,1.5446308636277588,1.2763039833333334,0.4556633557886892,0.58825522650058,0.0030267466633047543,1.0,,,,,,
d1_a,d1,a,native,all5,sam,p08,complete,88.65191248,15.582610524953147,13.9887586602755,0.43293371066059716,0.5757439108309925,0.01797876458713986,0.0,,,,,,
d1_a,d1,a,native,all5,sam,p09,complete,88.65191248,10.288645524759211,2.764098621692101,0.43293371066059716,0.5757439108309925,0.08487743459301748,0.0,,,,,,
d1_a,d1,a,native,all5,sam,p10,complete,88.65191248,13.373154352675297,10.408798170816988,0.43293371066059716,0.5757439108309925,0.033438152645912406,0.0,,,,,,
d1_a,d1,a,native,all5,sam,p11,complete,88.65191248,9.473606339181005,9.173154250000001,0.43293371066059716,0.5757439108309925,0.003389121348609206,1.0,,,,,,
d1_a,d1,a,native,all5,sam,p12,complete,88.65191248,1.5534943113064386,1.2763039833333334,0.43293371066059716,0.5757439108309925,0.003126726995716416,1.0,,,,,,
d1_a,d1,a,native,all5,pearson_r,p08,complete,88.65191248,15.340183758773552,13.913582057322952,0.44232105685791157,0.5785624500821416,0.01609217062037377,0.0,,,,,,
d1_a,d1,a,native,all5,pearson_r,p09,complete,88.65191248,10.112370066305827,2.7832454515966387,0.44232105685791157,0.5785624500821416,0.08267305701230811,0.0,,,,,,
d1_a,d1,a,native,all5,pearson_r,p10,complete,88.65191248,12.959511914201197,10.21495904885068,0.44232105685791157,0.5785624500821416,0.030958755300058465,0.0,,,,,,
d1_a,d1,a,native,all5,pearson_r,p11,complete,88.65191248,9.4767154417845,9.173154250000001,0.44232105685791157,0.5785624500821416,0.0034241922513852355,1.0,,,,,,
d1_a,d1,a,native,all5,pearson_r,p12,complete,88.65191248,1.5505236783062384,1.2763039833333334,0.44232105685791157,0.5785624500821416,0.00309321804010454,1.0,,,,,,
d1_a,d1,a,native,all5,nmse,p08,complete,88.65191248,15.783766547851624,14.808939733333332,0.4410481380576954,0.5592426039526688,0.010996117142291905,0.0,,,,,,
d1_a,d1,a,native,all5,nmse,p09,complete,88.65191248,9.517478398236449,2.8735285326340327,0.4410481380576954,0.5592426039526688,0.07494423616750852,0.0,,,,,,
d1_a,d1,a,native,all5,nmse,p10,complete,88.65191248,13.223452759972837,10.9420596,0.4410481380576954,0.5592426039526688,0.025734280244518376,0.0,,,,,,
d1_a,d1,a,native,all5,nmse,p11,complete,88.65191248,9.480569748958953,9.173154250000001,0.4410481380576954,0.5592426039526688,0.0034676691157486893,1.0,,,,,,
d1_a,d1,a,native,all5,nmse,p12,complete,88.65191248,1.5468840904223677,1.2763039833333334,0.4410481380576954,0.5592426039526688,0.003052163224905922,1.0,,,,,,
d1_a,d1,a,native,all5,wasserstein_1_cm1,p08,complete,88.65191248,15.77998449053065,14.51687588066203,0.5420881487677518,0.581229019600293,0.014247956694150002,0.0,,,,,,
d1_a,d1,a,native,all5,wasserstein_1_cm1,p09,complete,88.65191248,4.011855882678926,3.145197606031746,0.5420881487677518,0.581229019600293,0.009775968192933224,0.0,,,,,,
