panel_id,endpoint_id,protocol_id,representation,metric_output_id,group,state,oc,bootstrap_lower,bootstrap_upper,pair_count_per_cluster
d1_a,d1,a,common_grid,sam,axis_axis,complete,0.6752604166666667,0.5411393229166667,0.8020963541666666,64
d1_a,d1,a,common_grid,pearson_r,nonaxis_nonaxis,complete,0.6890625,0.6651041666666668,0.7130208333333332,192
d1_a,d1,a,common_grid,pearson_r,mixed,complete,0.7470920138888889,0.7199186197916666,0.7749598524305555,384
d1_a,d1,a,common_grid,pearson_r,axis_axis,complete,0.6763020833333333,0.5419270833333333,0.8026106770833333,64
d1_a,d1,a,common_grid,nmse,nonaxis_nonaxis,complete,0.6718750000000002,0.6519943576388887,0.6926236979166667,192
d1_a,d1,a,common_grid,nmse,mixed,complete,0.793532986111111,0.7636273871527778,0.8184103732638888,384
d1_a,d1,a,common_grid,nmse,axis_axis,complete,0.6747395833333333,0.5403645833333334,0.8010546874999999,64
d1_a,d1,a,common_grid,wasserstein_1_cm1,nonaxis_nonaxis,complete,0.8255208333333333,0.7776888020833334,0.8634548611111109,192
d1_a,d1,a,common_grid,wasserstein_1_cm1,mixed,complete,0.8534288194444445,0.7875737847222221,0.902175564236111,384
d1_a,d1,a,common_grid,wasserstein_1_cm1,axis_axis,complete,0.66953125,0.5408854166666667,0.79037109375,64
d1_a,d1,a,common_grid,is_like_structure_to_noise,nonaxis_nonaxis,complete,0.18211805555555557,0.14930555555555555,0.2229166666666667,192
d1_a,d1,a,common_grid,is_like_structure_to_noise,mixed,complete,0.5040364583333333,0.4684331597222222,0.5364583333333334,384
d1_a,d1,a,common_grid,is_like_structure_to_noise,axis_axis,complete,0.46067708333333335,0.42212239583333333,0.50234375,64
d1_a,d1,a,common_grid,precision,nonaxis_nonaxis,complete,0.3171875,0.2761263020833334,0.3646809895833332,192
d1_a,d1,a,common_grid,precision,mixed,complete,0.38320312500000003,0.3562456597222222,0.4178417968749999,384
d1_a,d1,a,common_grid,precision,axis_axis,complete,0.5919270833333333,0.5138020833333333,0.6627669270833333,64
d1_a,d1,a,common_grid,recall,nonaxis_nonaxis,complete,0.33124999999999993,0.2939214409722223,0.3743098958333333,192
d1_a,d1,a,common_grid,recall,mixed,complete,0.3874565972222222,0.3617621527777778,0.4212337239583333,384
d1_a,d1,a,common_grid,recall,axis_axis,complete,0.5841145833333333,0.5049348958333334,0.6549479166666666,64
d1_a,d1,a,common_grid,f1,nonaxis_nonaxis,complete,0.3251736111111111,0.28618489583333334,0.3700716145833333,192
d1_a,d1,a,common_grid,f1,mixed,complete,0.38285590277777776,0.3557291666666667,0.4175813802083333,384
d1_a,d1,a,common_grid,f1,axis_axis,complete,0.5872395833333334,0.5114127604166667,0.6565169270833333,64
d1_a,d1,a,common_grid,artifact_peak_ratio,nonaxis_nonaxis,complete,0.3171875,0.2761263020833334,0.3646809895833332,192
d1_a,d1,a,common_grid,artifact_peak_ratio,mixed,complete,0.38320312500000003,0.3562456597222222,0.4178417968749999,384
d1_a,d1,a,common_grid,artifact_peak_ratio,axis_axis,complete,0.5919270833333333,0.5138020833333333,0.6627669270833333,64
d1_a,d1,a,common_grid,missing_peak_ratio,nonaxis_nonaxis,complete,0.33124999999999993,0.2939214409722223,0.3743098958333333,192
d1_a,d1,a,common_grid,missing_peak_ratio,mixed,complete,0.3874565972222222,0.3617621527777778,0.4212337239583333,384
d1_a,d1,a,common_grid,missing_peak_ratio,axis_axis,complete,0.5841145833333333,0.5049348958333334,0.6549479166666666,64
d2_5_a,d2_5,a,native,mse,nonaxis_nonaxis,complete,0.72890625,0.7033832465277777,0.7537369791666668,192
d2_5_a,d2_5,a,native,mse,mixed,complete,0.8756944444444446,0.8041655815972221,0.9314702690972223,384
d2_5_a,d2_5,a,native,mse,axis_axis,complete,0.5,0.5,0.5,64
d2_5_a,d2_5,a,native,rmse,nonaxis_nonaxis,complete,0.7308159722222224,0.7041623263888888,0.7565169270833334,192
d2_5_a,d2_5,a,native,rmse,mixed,complete,0.8756944444444446,0.8041655815972221,0.9314702690972223,384
