panel_id,endpoint_id,protocol_id,metric_output_id,ag,ag_lower,ag_upper,acc_cross,acc_cross_lower,acc_cross_upper,d_ag,d_ag_lower,d_ag_upper,d_ag_raw_p_value,d_ag_adjusted_p_value,d_ag_rank,d_ag_family_size,d_ag_family_id,d_ag_favorable,d_ag_rejected,d_ag_direction,d_ag_state,d_ag_glyph,d_acc,d_acc_lower,d_acc_upper,d_acc_raw_p_value,d_acc_adjusted_p_value,d_acc_rank,d_acc_family_size,d_acc_family_id,d_acc_favorable,d_acc_rejected,d_acc_direction,d_acc_state,d_acc_glyph,panel_state
d5_a,d5,a,mse,0.02589084818240907,0.020587990947390642,0.034059911814694456,0.5637183370044052,0.5544990420796623,0.5721129026707047,,,,,,,24,d5:a:within_protocol,,,reference,reference_no_contrast,not_rejected,,,,,,,24,d5:a:within_protocol,,,reference,reference_no_contrast,not_rejected,complete
d5_b,d5,b,mse,0.011266270309758167,0.008968044885949319,0.015035996562744895,0.5967453652716594,0.5857987162720264,0.6072353673366373,,,,,,,24,d5:b:within_protocol,,,reference,reference_no_contrast,not_rejected,,,,,,,24,d5:b:within_protocol,,,reference,reference_no_contrast,not_rejected,complete
d5_a,d5,a,rmse,0.025994714272215894,0.02060145195389988,0.034205643568316756,0.5638594438325991,0.5545983331038914,0.5723023357195302,-0.00010386608980682277,-0.00043897309299754565,0.0004486522428284253,0.6839331606683933,1.0,23,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,0.0001411068281939043,-7.227422907485348e-05,0.00037401913546265526,0.22575774242257576,0.903030969690303,21,24,d5:a:within_protocol,True,False,favorable,tested,not_rejected,complete
d5_b,d5,b,rmse,0.011310703088418588,0.009024120626109012,0.015031870199837089,0.5968245227606461,0.5858670899871512,0.607308444612702,-4.443277866042136e-05,-0.0004151102133226949,0.0005284503518604351,0.8626713732862671,1.0,23,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,7.915748898668085e-05,-9.407121879589919e-05,0.00028683117657858344,0.41486585134148657,1.0,19,24,d5_protocol_b_full_domain_secondary_24,True,False,favorable,tested,not_rejected,complete
d5_a,d5,a,mae,0.02593172919089978,0.02062147645999067,0.034060316906224374,0.5648930800293686,0.5556472845539647,0.5735897060848018,-4.088100849070769e-05,-0.0005569040682480711,0.0005113965668461284,0.8947710522894771,1.0,24,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,0.0011747430249633428,0.0006859742107193452,0.001671542309104401,9.99990000099999e-06,0.00023999760002399976,6,24,d5:a:within_protocol,True,True,favorable,tested,favorable_rejected,complete
d5_b,d5,b,mae,0.011362801609538958,0.009238865634603126,0.015156695524762847,0.5968302588105727,0.5857839172632159,0.6075308312683554,-9.653129978079086e-05,-0.0006686837985554439,0.00041113537476357404,0.7426525734742653,1.0,22,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,8.489353891327767e-05,-0.00035448788546244556,0.0005312155837004226,0.7157128428715713,1.0,21,24,d5_protocol_b_full_domain_secondary_24,True,False,favorable,tested,not_rejected,complete
d5_a,d5,a,sam,0.03151934489778361,0.02536996027002199,0.04186258318345418,0.5632158590308372,0.5541998210352423,0.5715080075256975,-0.005628496715374538,-0.009546751956414,-0.0033161474092416867,0.00043999560004399956,0.003959960400395996,16,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.0005024779735680607,-0.0010313417767988692,3.4989904551804486e-06,0.05472945270547294,0.3831061689383106,18,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
d5_b,d5,b,sam,0.015324644668213639,0.012719273477023051,0.020794898708187286,0.5967338931718063,0.5857227709709986,0.6072802806075625,-0.004058374358455472,-0.006802157526844724,-0.002711771941173633,0.00018999810001899982,0.0022799772002279977,14,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-1.147209985319364e-05,-0.0004774114353890132,0.0004956520741557194,0.965440345596544,1.0,24,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,pearson_r,0.0341109820249643,0.027008323673927945,0.04409206018531889,0.5634521842878121,0.5543705545613069,0.5719121982837738,-0.008220133842555228,-0.011376409600278832,-0.005040958838227269,9.99990000099999e-06,0.00023999760002399976,9,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.00026615271659313766,-0.0009304733388401402,0.0003934930249631652,0.4400655993440066,1.0,22,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
d5_b,d5,b,pearson_r,0.014728933334083531,0.012003026329077671,0.020183424269368002,0.5964746237151248,0.5854164945851689,0.6070260588748164,-0.003462663024325364,-0.0063974373231809175,-0.002141397365123305,0.00018999810001899982,0.0022799772002279977,13,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.00027074155653461496,-0.0009535322595448422,0.0004004336453744786,0.4251857481425186,1.0,20,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,nmse,0.027705971224591307,0.021197584779866194,0.03578931685968796,0.564069383259912,0.5549178884453011,0.5724959274045521,-0.0018151230421822352,-0.0035589221721946036,0.0011532609867731716,0.11740882591174089,0.6806931930680693,20,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,0.0003510462555067484,-8.733136013212548e-05,0.0007813360407489612,0.11344886551134489,0.6806931930680693,19,24,d5:a:within_protocol,True,False,favorable,tested,not_rejected,complete
d5_b,d5,b,nmse,0.010468240323611296,0.007752828332497911,0.01391834104368789,0.5969759544787078,0.5859626525789281,0.6075484696218796,0.0007980299861468712,-0.00031195525151159534,0.0027941613628849546,0.3277067229327707,1.0,18,24,d5_protocol_b_full_domain_secondary_24,True,False,favorable,tested,not_rejected,0.0002305892070483262,-0.0001388697687223771,0.0005966639133627127,0.21339786602133978,1.0,17,24,d5_protocol_b_full_domain_secondary_24,True,False,favorable,tested,not_rejected,complete
d5_a,d5,a,wasserstein_1_cm1,0.020767723025267908,0.016444862873379592,0.028071553801587795,0.5697801945668136,0.559765395558003,0.5791611887389868,0.005123125157141164,0.0011408330250382152,0.009027362865275402,0.01878981210187898,0.15031849681503184,17,24,d5:a:within_protocol,True,False,favorable,tested,not_rejected,0.0060618575624084015,0.004421031800660749,0.007704949063876558,9.99990000099999e-06,0.00023999760002399976,13,24,d5:a:within_protocol,True,True,favorable,tested,favorable_rejected,complete
d5_b,d5,b,wasserstein_1_cm1,0.017110199622038663,0.013996587121517303,0.023029176722189456,0.5954880231277533,0.5843837761563876,0.6065104453469163,-0.005843929312280496,-0.01016300057450686,-0.003113409958240523,0.00042999570004299955,0.0042999570004299955,15,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.0012573421439061594,-0.002716707966226192,0.00017712922173273332,0.08632913670863292,0.7769622303776963,16,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,is_like_structure_to_noise,0.050827911400603616,0.04193575007071089,0.06580661503067016,0.5094713656387665,0.5038279815987519,0.5152510382250367,-0.024937063218194545,-0.034965043860632844,-0.019770815293248832,9.99990000099999e-06,0.00023999760002399976,5,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.05424697136563872,-0.06190626147209986,-0.04626680662628494,9.99990000099999e-06,0.00023999760002399976,4,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
d5_b,d5,b,is_like_structure_to_noise,0.035524213505484334,0.029200980537226164,0.04746983606390312,0.5463208975770925,0.5386193041024229,0.5538938027716593,-0.02425794319572617,-0.034609459944699224,-0.018331967144674492,9.99990000099999e-06,0.00023999760002399976,6,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.05042446769456699,-0.057997315528634456,-0.043061501927312874,9.99990000099999e-06,0.00023999760002399976,5,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,precision,0.05211297488473799,0.04221619554965934,0.07130680529320887,0.5161802496328928,0.5116603856919971,0.5207585639225403,-0.02622212670232892,-0.04219278698619697,-0.018675057698925298,2.999970000299997e-05,0.00032999670003299966,15,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.04753808737151244,-0.05381562041116006,-0.04116060366189427,9.99990000099999e-06,0.00023999760002399976,10,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
d5_b,d5,b,precision,0.046498196641316714,0.039362312393221265,0.060317695524345495,0.5452046622613802,0.5385660735591044,0.5514424157947871,-0.03523192633155855,-0.047560964897357456,-0.02861637497638074,9.99990000099999e-06,0.00023999760002399976,10,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.05154070301027924,-0.057601642804698816,-0.04544626468428782,9.99990000099999e-06,0.00023999760002399976,9,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,recall,0.057060380141513024,0.04609297679990433,0.07580714860629847,0.518448283773862,0.5137397037903817,0.5232450555249634,-0.031169531959103953,-0.04665603835500975,-0.02290421232696671,9.99990000099999e-06,0.00023999760002399976,12,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.04527005323054323,-0.05139173779368575,-0.03910827367841402,9.99990000099999e-06,0.00023999760002399976,11,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
d5_b,d5,b,recall,0.05115866900844352,0.04297834352766483,0.06474673404594615,0.5477801486784141,0.540873743805066,0.554179916941997,-0.039892398698685355,-0.052350418716013807,-0.03241726880115025,9.99990000099999e-06,0.00023999760002399976,12,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.048965216593245375,-0.05466811215124814,-0.04310142483480187,9.99990000099999e-06,0.00023999760002399976,11,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,f1,0.056663761661054995,0.045512446663133144,0.0765808702385967,0.5175970539647577,0.5130180226688694,0.5222458356277534,-0.030772913478645924,-0.0475383380694549,-0.02242774810599772,9.99990000099999e-06,0.00023999760002399976,3,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.046121283039647465,-0.05226875114720996,-0.0399407466042585,9.99990000099999e-06,0.00023999760002399976,2,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
d5_b,d5,b,f1,0.051044331757819625,0.042776037969176006,0.06528660758094293,0.5468187867107195,0.5400431637756975,0.5531801808002936,-0.03977806144806146,-0.052909592258445826,-0.032159373226924345,9.99990000099999e-06,0.00023999760002399976,4,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.04992657856093996,-0.055799003074522804,-0.04399782603707785,9.99990000099999e-06,0.00023999760002399976,3,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,artifact_peak_ratio,0.05211297488473799,0.04221619554965934,0.07130680529320887,0.5161802496328928,0.5116603856919971,0.5207585639225403,-0.02622212670232892,-0.04219278698619697,-0.018675057698925298,2.999970000299997e-05,0.00032999670003299966,14,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.04753808737151244,-0.05381562041116006,-0.04116060366189427,9.99990000099999e-06,0.00023999760002399976,1,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
d5_b,d5,b,artifact_peak_ratio,0.046498196641316714,0.039362312393221265,0.060317695524345495,0.5452046622613802,0.5385660735591044,0.5514424157947871,-0.03523192633155855,-0.047560964897357456,-0.02861637497638074,9.99990000099999e-06,0.00023999760002399976,2,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,-0.05154070301027924,-0.057601642804698816,-0.04544626468428782,9.99990000099999e-06,0.00023999760002399976,1,24,d5_protocol_b_full_domain_secondary_24,False,False,adverse,tested,not_rejected,complete
d5_a,d5,a,missing_peak_ratio,0.057060380141513024,0.04609297679990433,0.07580714860629847,0.518448283773862,0.5137397037903817,0.5232450555249634,-0.031169531959103953,-0.04665603835500975,-0.02290421232696671,9.99990000099999e-06,0.00023999760002399976,8,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,-0.04527005323054323,-0.05139173779368575,-0.03910827367841402,9.99990000099999e-06,0.00023999760002399976,7,24,d5:a:within_protocol,False,False,adverse,tested,not_rejected,complete
