cell_id,metric_output_id,delta_ag,delta_ag_lower,delta_ag_upper,delta_acc,delta_acc_lower,delta_acc_upper,i_ag,i_ag_lower,i_ag_upper,i_acc,i_acc_lower,i_acc_upper,i_ag_raw_p_value,i_ag_adjusted_p_value,i_ag_rank,i_ag_family_size,i_ag_family_id,i_ag_favorable,i_ag_rejected,i_ag_direction,i_ag_state,i_ag_glyph,i_acc_raw_p_value,i_acc_adjusted_p_value,i_acc_rank,i_acc_family_size,i_acc_family_id,i_acc_favorable,i_acc_rejected,i_acc_direction,i_acc_state,i_acc_glyph,state
d5,f1,-0.005619429903235371,-0.016072708836212347,0.0030256656620248922,0.029221732745961737,0.024306253441629806,0.034182440803964785,-0.009005147969415535,-0.015552872416056084,0.00016087021731042727,-0.0038052955212924955,-0.008596159140969391,0.0009684173091038796,0.020149798502014978,0.3828461715382846,11,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,0.11509884901150988,1.0,18,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d5,artifact_peak_ratio,-0.005614778243421277,-0.016094002133950687,0.0024099408911498264,0.029024412628487428,0.024072107883626917,0.03401675500183559,-0.009009799629229629,-0.015212278124074897,0.0003477962422501702,-0.004002615638766804,-0.008881814427312784,0.0009101390418502947,0.02175978240217598,0.3916760832391676,12,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,0.1034689653103469,1.0,16,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d5,missing_peak_ratio,-0.005901711133069504,-0.015817110108668393,0.0026067157471672477,0.029331864904552085,0.024427857700073257,0.034285374219897205,-0.008722866739581402,-0.015176338404277805,-0.0005316241976648655,-0.0036951633627021474,-0.008419775605726789,0.0010957576174743485,0.015529844701552985,0.34165658343416566,8,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,0.12353876461235387,1.0,19,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_5,mse,0.012319705818866128,-0.007785403703531978,0.03557532441130757,0.007942708333333326,-0.05349088541666686,0.07217122395833325,,,,,,,,,,29,d2_5shot:protocol_ab,,,reference,reference_no_interaction,not_rejected,,,,29,d2_5shot:protocol_ab,,,reference,reference_no_interaction,not_rejected,complete
d2_5,rmse,0.011909757533695359,-0.007501120070871061,0.03529712651034456,0.007187499999999902,-0.05461067708333339,0.07203971354166672,0.0004099482851707692,-0.0020269341247395652,0.0009192823143193168,-0.0007552083333334236,-0.002240234374999954,0.0003645833333336679,0.7327026729732703,1.0,27,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.35105648943510565,1.0,23,29,d2_5shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_5,mae,0.022144778405954968,0.003653126991277281,0.04374516559818547,-0.0031770833333334414,-0.06302669270833307,0.061151041666666656,-0.00982507258708884,-0.01693636621647192,-0.0037556631325110098,-0.011119791666666767,-0.014687499999999302,-0.00729166666666658,0.03995960040399596,0.5190348096519035,18,29,d2_5shot:protocol_ab,False,False,adverse,tested,not_rejected,1.999980000199998e-05,0.0004999950000499995,5,29,d2_5shot:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d2_5,sam,-0.0017629060580830191,-0.024758002248085737,0.025501467102592525,0.00869791666666675,-0.05278841145833328,0.07325976562500007,0.014082611876949147,0.0020132019247093113,0.02669369342035907,0.0007552083333334236,-0.002761067708333372,0.004870442708333352,0.05144948550514495,0.5659443405565945,19,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.7290327096729032,1.0,26,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_5,pearson_r,0.01189697387570468,-0.008168847388943816,0.03324978892874208,0.007135416666666727,-0.05479231770833346,0.07241080729166646,0.00042273194316144735,-0.003646363273293483,0.0069867200453302344,-0.0008072916666665986,-0.005729817708333017,0.0047923177083337345,0.8835311646883531,1.0,29,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.7815321846781532,1.0,28,29,d2_5shot:protocol_ab,False,False,adverse,tested,not_rejected,complete
d2_5,nmse,0.02475183906029728,-0.00198056112993036,0.047894800465220114,0.008750000000000258,-0.05164453124999988,0.07257877604166693,-0.01243213324143115,-0.01750079962549465,0.0005539439535925057,0.0008072916666669316,-0.0010416666666666103,0.0033860677083339054,0.011729882701172988,0.23459765402345978,10,29,d2_5shot:protocol_ab,False,False,adverse,tested,not_rejected,0.6373436265637343,1.0,25,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_5,wasserstein_1_cm1,0.15677236436409236,0.12770948726679474,0.19416756898298299,-0.09539062500000017,-0.1463033854166667,-0.04059049479166665,-0.14445265854522626,-0.17995887035640556,-0.11197869071195397,-0.1033333333333335,-0.1291966145833334,-0.07660677083333331,5.999940000599994e-05,0.0014399856001439987,6,29,d2_5shot:protocol_ab,False,True,adverse,tested,adverse_rejected,9.99990000099999e-06,0.00028999710002899974,4,29,d2_5shot:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d2_5,is_like_structure_to_noise,0.03371083782712142,-0.013389607858332753,0.08440792894830376,0.07635416666666667,0.04726497395833331,0.10325976562499999,-0.021391132008255265,-0.06999104023487966,0.030176788556208964,0.06841145833333334,-0.013808593750000145,0.14388281250000007,0.4996350036499635,1.0,24,29,d2_5shot:protocol_ab,False,False,adverse,tested,not_rejected,0.0993190068099319,0.8450915490845091,22,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_5,precision,-0.04212115538618377,-0.08857592105925008,-0.0060765979834705355,0.0497916666666669,0.010285807291666641,0.0855742187500001,0.05444086120504993,0.018594190337637383,0.10609267186569275,0.041848958333333575,0.0035904947916666264,0.07524023437499994,0.08450915490845091,0.8450915490845091,21,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.03338966610333897,0.5190348096519035,17,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_5,recall,-0.039197674584288134,-0.07880350285870726,-0.007686416374791033,0.04791666666666672,0.006223307291666776,0.08596614583333341,0.05151738040315429,0.0224673007951899,0.09167437981660295,0.03997395833333339,0.004234375000000259,0.0718072916666667,0.02870971290287097,0.5167748322516774,13,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.03243967560324397,0.5190348096519035,15,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_5,f1,-0.053412240411407796,-0.092256355864203,-0.020362046063963683,0.04989583333333325,0.008927083333333544,0.08687630208333347,0.06573194623027395,0.038845698210986365,0.1048888739469652,0.041953124999999925,0.005572265625000043,0.07399479166666693,0.00993990060099399,0.2087379126208738,9,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.026549734502654975,0.5044449555504446,11,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_5,artifact_peak_ratio,-0.04212115538618377,-0.08857592105925008,-0.0060765979834705355,0.0497916666666669,0.010285807291666641,0.0855742187500001,0.05444086120504993,0.018594190337637383,0.10609267186569275,0.041848958333333575,0.0035904947916666264,0.07524023437499994,0.08450915490845091,0.8450915490845091,20,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.03338966610333897,0.5190348096519035,16,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_5,missing_peak_ratio,-0.039197674584288134,-0.07880350285870726,-0.007686416374791033,0.04791666666666672,0.006223307291666776,0.08596614583333341,0.05151738040315429,0.0224673007951899,0.09167437981660295,0.03997395833333339,0.004234375000000259,0.0718072916666667,0.02870971290287097,0.5167748322516774,12,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,0.03243967560324397,0.5190348096519035,14,29,d2_5shot:protocol_ab,True,False,favorable,tested,not_rejected,complete
d2_10,mse,0.1265842579964429,0.09591858724697132,0.16213063563941688,0.006406250000000058,-0.051853515625000235,0.0639778645833329,,,,,,,,,,29,d2_10shot:protocol_ab,,,reference,reference_no_interaction,not_rejected,,,,29,d2_10shot:protocol_ab,,,reference,reference_no_interaction,not_rejected,complete
