cell_id,protocol_id,perturbation_id,alpha,metric_output_id,protocol_a_mse_x,metric_x,x_render_value,downstream_harm
d5,a,p10,0.4,mse,8241162366.576815,8241162366.576815,8241162366.576815,0.07616494086758403
d5,a,p10,0.5,mse,12876816197.776272,12876816197.776272,12876816197.776272,0.09349240048579255
d5,a,p10,0.65,mse,21761819374.2419,21761819374.2419,21761819374.2419,0.11544307992545878
d5,a,p10,0.8,mse,32964649466.30725,32964649466.30725,32964649466.30725,0.13399186268128999
d5,a,p11,0.05,mse,0.0,0.0,0.0,0.0005139500734214394
d5,a,p11,0.1,mse,0.0,0.0,0.0,1.0488777008600882e-05
d5,a,p11,0.2,mse,0.0,0.0,0.0,-0.0005605668601263311
d5,a,p11,0.3,mse,0.0,0.0,0.0,0.002389640054838293
d5,a,p11,0.4,mse,0.0,0.0,0.0,0.004088821930231623
d5,a,p11,0.5,mse,0.0,0.0,0.0,0.005593961430965835
d5,a,p11,0.65,mse,0.0,0.0,0.0,0.006083437691367205
d5,a,p11,0.8,mse,0.0,0.0,0.0,0.010074417343139809
d5,a,p12,0.05,mse,0.0,0.0,0.0,0.0
d5,a,p12,0.1,mse,0.0,0.0,0.0,-0.0001468428781204112
d5,a,p12,0.2,mse,0.0,0.0,0.0,-0.0001468428781204112
d5,a,p12,0.3,mse,0.0,0.0,0.0,-0.0001468428781204112
d5,a,p12,0.4,mse,0.0,0.0,0.0,0.0001468428781204112
d5,a,p12,0.5,mse,0.0,0.0,0.0,0.0001468428781204112
d5,a,p12,0.65,mse,0.0,0.0,0.0,-0.00044052863436123355
d5,a,p12,0.8,mse,0.0,0.0,0.0,-0.00029368575624082237
d5,b,p08,0.05,mse,128768161.97776274,128768161.97776274,128768161.97776274,0.015739605882777688
d5,b,p08,0.1,mse,515072647.9110509,515072647.9110509,515072647.9110509,0.03164027806098291
d5,b,p08,0.2,mse,2060290591.6442037,2060290591.6442037,2060290591.6442037,0.07016878332957627
d5,b,p08,0.3,mse,4635653831.199457,4635653831.199457,4635653831.199457,0.09345960573934142
d5,b,p08,0.4,mse,8241162366.576815,8241162366.576815,8241162366.576815,0.11567107024155482
d5,b,p08,0.5,mse,12876816197.776274,12876816197.776274,12876816197.776274,0.13187386320646236
d5,b,p08,0.65,mse,21761819374.2419,21761819374.2419,21761819374.2419,0.14763782269288878
