panel_id,metric_output_id,ag_decision,concordance_decision,joint_decision
d5_b,mae,not_rejected,not_rejected,not_joint
d5_b,sam,adverse,not_rejected,not_joint
d5_b,pearson_r,adverse,not_rejected,not_joint
d5_b,nmse,not_rejected,not_rejected,not_joint
d5_b,wasserstein_1_cm1,adverse,not_rejected,not_joint
d5_b,is_like_structure_to_noise,adverse,adverse,adverse
d5_b,precision,adverse,adverse,adverse
d5_b,recall,adverse,adverse,adverse
d5_b,f1,adverse,adverse,adverse
d5_b,artifact_peak_ratio,adverse,adverse,adverse
d5_b,missing_peak_ratio,adverse,adverse,adverse
